id,nom,groupe_musculaire,equipement,url
squat-avec-rotation-du-tronc,Squat avec rotation du tronc,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat-avec-rotation-du-tronc
kettlebell-back-squat,Kettlebell back squat,Quadriceps,Kettlebell,https://www.docteur-fitness.com/kettlebell-back-squat
fentes-marchees-avec-sandbag,Fentes marchées avec sandbag,Quadriceps,Sandbag,https://www.docteur-fitness.com/fentes-marchees-avec-sandbag
presse-a-cuisses-inclinee,Presse à cuisses inclinée,Quadriceps,Machine,https://www.docteur-fitness.com/presse-a-cuisses-inclinee
squat,Squat,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat
leg-extension,Leg extension,Quadriceps,Machine,https://www.docteur-fitness.com/leg-extension
montees-sur-banc,Montées sur banc,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/montees-sur-banc
souleve-de-terre,Soulevé de terre,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/souleve-de-terre
squat-barre-devant,Squat barre devant,Quadriceps,Barre,https://www.docteur-fitness.com/squat-barre-devant
souleve-de-terre-roumain-avec-kettlebell,Soulevé de terre roumain avec kettlebell,Quadriceps,Kettlebell,https://www.docteur-fitness.com/souleve-de-terre-roumain-avec-kettlebell
presse-a-cuisses-verticale,Presse à cuisses verticale,Quadriceps,Machine,https://www.docteur-fitness.com/presse-a-cuisses-verticale
air-squat,Air Squat,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/air-squat
squat-saute,Squat sauté,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat-saute
squat-sumo-a-la-landmine,Squat sumo à la landmine,Quadriceps,Landmine,https://www.docteur-fitness.com/squat-sumo-a-la-landmine
hack-squat,Hack squat,Quadriceps,Machine,https://www.docteur-fitness.com/hack-squat
marche-du-fermier-avec-kettlebells,Marche du fermier avec kettlebells,Quadriceps,Kettlebell,https://www.docteur-fitness.com/marche-du-fermier-avec-kettlebells
sled-push,Sled push,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/sled-push
overhead-squat-avec-elastique,Overhead squat avec élastique,Quadriceps,Élastique,https://www.docteur-fitness.com/overhead-squat-avec-elastique
hack-squat-assis,Hack squat assis,Quadriceps,Machine,https://www.docteur-fitness.com/hack-squat-assis
sissy-squat-avec-machine,Sissy squat avec machine,Quadriceps,Machine,https://www.docteur-fitness.com/sissy-squat-avec-machine
pendulum-squat,Pendulum squat,Quadriceps,Machine,https://www.docteur-fitness.com/pendulum-squat
presse-a-cuisse-sur-le-cote,Presse à cuisse sur le côté,Quadriceps,Machine,https://www.docteur-fitness.com/presse-a-cuisse-sur-le-cote
belt-squat,Belt squat,Quadriceps,Machine,https://www.docteur-fitness.com/belt-squat
fentes-croisees,Fentes croisées,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/fentes-croisees
